,subject,predicate,object,from,until
260545,Donald Lester Jackson,field of work,public relations,1938,1940
254617,Federal Minister of Finance,officeholder,Hans Eichel,1999,2005
247325,Hans-Achim von Rosenberg-Gruszcynski,military rank,officer candidate,1937,1937
328439,Würzburg Residence,creator,Giovanni Battista Tiepolo,1750,1753
200687,Hamburg,located in the administrative territorial entity,Nazi Germany,1933,1945
253167,Grace Nickel,professorship,assistant professor,2010,2017
328305,John Travolta,religion,Catholic Church,1954,1975
328534,L'Âme de la France,material used,bronze,1930,1930
186979,Netflix,owned by,The Vanguard Group,2016,2016
253210,Charles Borromeo,canonization status,saint,1610,1610
258189,Israel,official language,Arabic,1948,2018
259953,Breanna Stewart,drafted by,Seattle Storm,2016,2016
328466,The Death of Marat,depicts,murder,1793,1793
204002,Siegfried Lüdden,affiliation,3rd U-boat Flotilla,1941,1941
255872,Pedro Pablo Kuczynski,relative,Harold E. Varmus,1962,1995
328453,Cypriot Third Division,league level below,Cypriot Fourth Division,1985,2015
256630,Komsomolskaya Pravda,country of origin,Soviet Union,1930,1991
200514,Herbert Werner,allegiance,Nazi Germany,1939,1945
227102,German Bar Association,headquarters location,Berlin,1871,1881
260040,"A man, woman and three children",fabrication method,digitization,2002,2002
250547,German Mathematical Society,chairperson,Erich Hecke,1923,1923
328513,Rome,culture,ancient Rome,753,476
260779,The Hall of Presidents,voice actor,Barack Obama,2009,2017
248631,Bas-Rhin,contains administrative territorial entity,Strasbourg,1920,1871
258835,Hugo Theorell,place of burial,Northern Cemetery,1982,1982
163726,John M. Ball,noble title,Knight Bachelor,2006,2006
209754,Drancy,head of government,Maurice Nilès,1959,1997
257036,John S. Kafka,conflict,United States Army,1944,1946
258487,Georg Wissowa,medical condition,stroke,1923,1923
256776,Darío Lecman,participant of,1995 Pan American Games,1995,1995
255883,Republic of Genova,follows,First French Empire,1814,1814
256702,Russian Orthodox Church,applies to jurisdiction,Soviet Union,1940,1991
227337,Light and Colour (Goethe's Theory) – The Morning after the Deluge – Moses Writing the Book of Genesis,exhibition history,Berlin,1972,1972
256771,West Germany,territory claimed by,German Democratic Republic,1949,1972
328631,Luís Gama,social classification,enslaved person,1840,1848
328524,Hexenschuß,FSK film rating,FSK 12,1989,1989
259847,Kinshasa,named after,Leopold II,1881,1966
328357,Udo Jürgens,given name,Jürgen,1934,2014
328618,Devin Kelley,list of works,Chernobyl Diaries,2012,2012
227188,Prussia,capital,Berlin,1701,1947
260576,Adam Lambert,record label,Warner Bros.,2015,2015
209689,Émile Chartier,test taken,agrégation de philosophie,3,3
226837,Wikidata's sixth birthday,location,Berlin,2018,2018
328458,Cypriot Third Division,league points system,2-1-0 points system,1970,1991
246249,Etelka Barsi-Pataky,office contested,president,2009,2017
203014,Weimar Republic,replaced by,Nazi Germany,1933,1933
227596,Hero City,winner,Saint Petersburg,1945,1945
246239,Georges-Henri Lévesque,honorific prefix,doctor honoris causa,1985,1985
158278,Nikolai Plotnikov,employer,Gerasimov Institute of Cinematography,1937,1939
260929,Hitman,publisher,Eidos Interactive,2000,2009
328516,Galeazzo Maria Sforza,child,Bianca Maria Sforza,1494,1494
328626,Alki Oroklini FC,official color,green,1979,2014
328425,Leonid Zhabotinsky,described by source,Encyclopedia of Modern Ukraine,2009,2009
247120,Hans-Achim von Rosenberg-Gruszcynski,member of the crew of,German submarine U-37,1940,1941
153854,Tatyana Lioznova,educated at,Gerasimov Institute of Cinematography,1943,1949
328611,Westminster School,founded by,Alexander III,1179,1179
259766,Atromitos Yeroskipou,victory,CFA Integration Championship,2004,2004
328186,Minister for Youth,appointed by,Governor of South Australia,1985,2018
255179,Kassel,instance of,residenz,1277,1866
258196,May Edward Chinn,place of death,New York City,1980,1980
328363,Tour aux figures,heritage designation,registered historic monument,1992,2008
260506,Panasonic,subsidiary,Universal Pictures,1990,1995
258124,Australia,ethnic group,Italians,2011,2011
217528,CMR Convention,legal form,France,1959,1959
328630,Mickey Mouse,present in work,Steamboat Willie,1928,1928
328151,Polish–Lithuanian Commonwealth,basic form of government,constitutional monarchy,1791,1792
328615,Final Portrait,CNC film rating (France),no age restriction (U),2018,2018
255855,Vern Clark,subject has role,director,2016,2016
328561,Tunisia,public holiday,International Workers' Day,1,1
256756,Germany,diplomatic relation,German Democratic Republic,1973,1990
328114,Eugène Pottier,penalty,capital punishment,1873,1873
199642,Hans-Achim von Rosenberg-Gruszcynski,country of citizenship,Nazi Germany,1933,1943
328427,Franz Berwald,student,Joseph Gottlieb Dente,1867,1868
249986,Route nationale 83,terminus location,Strasbourg,1978,2006
328418,Germany national football team,captain,Bastian Schweinsteiger,2014,2016
258087,Australia,language used,Bengali,2016,2016
253378,Rosa Luxemburg,member of political party,Independent Social Democratic Party of Germany,1917,1917
259033,Colleen Camp,on focus list of Wikimedia project,NL Gendergap maintenance,2018,2018
328531,Fabrika Zvezd,producer,Sergey Kushneryov,2006,2006
328589,Maria Kouznetsova,instrument,violin,2007,2007
258575,2003 Tour de France,start point,Paris,2003,2003
328189,James A. Garfield,cause of death,ballistic trauma,1881,1881
328600,Charlie Chan on Broadway,MPAA film rating,G,1968,1968
256281,Frederick William University,rector,Paul Hinschius,1889,1890
197038,German submarine U-753,country,Nazi Germany,1941,1943
252301,Marin Čilić,head coach,Goran Ivanišević,2013,2016
252191,Mecklenburg,shares border with,People's Republic of Poland,1945,1946
328550,Martin Luther,lifestyle,monk,1505,1524
328567,Fußball-Regionalliga Nordost,organizer,German Football Association,1994,2000
251701,European Southern Observatory,director/manager,Lodewijk Woltjer,1975,1987
328568,Mount Hermon Cemetery,architect,David Bates Douglass,1848,1848
259719,Berkshire Hathaway,owner of,IBM,2015,2015
246251,University of North Carolina at Chapel Hill,office held by head of the organisation,president,1803,1932
261091,San Zeno Altarpiece,commissioned by,Gregorio Correr,1456,1456
258588,German submarine U-99,crew member,Otto Kretschmer,1940,1940
328397,James Michael Harvey,consecrator,John Paul II,1998,1998
203255,7th U-boat Flotilla,part of,Kriegsmarine,1940,1945
250003,Heinrich Behnke,doctoral advisor,Erich Hecke,1923,1923
258585,German submarine U-999,cause of destruction,scuttling,1945,1945
328444,Chile,located in time zone,UTC−03:00,2015,2017
258054,Valparaiso University,Carnegie Classification of Institutions of Higher Education,high undergraduate,2015,2015
257531,Italian Republican Party,secretary general,Oronzo Reale,1949,1974
328485,Sovremennik,editor,Alexander Pushkin,1836,1837
328578,Kate Sheppard,family name,Sheppard,1872,1925
328543,Minecraft,platform,Windows Phone,2014,2014
328194,Willy Sommer,head coach of sports team,FC Winterthur,1970,1975
328598,Chicago,genre,musical film,2003,2003
246253,8th U-boat Flotilla,has part,German submarine U-384,1942,1942
219738,Nijel Amos,sports discipline competed in,800 metres,2012,2012
245988,German submarine U-2340,use,education,1944,1945
260521,Orientalism,discoverer or inventor,Edward Said,1978,1978
203081,German submarine U-753,operator,Kriegsmarine,1941,1943
258486,Melania Trump,permanent resident of,United States of America,2001,2006
328593,Spider-Man,ESRB rating,Teen,2018,2018
260936,FC Farul Constanța,league,Liga III,2017,2018
