,subject,predicate,object,from,until
3987,Citizen (United Kingdom),Decline comment,Newspaper (United Kingdom),2015,2015
157,Ismaïl Omar Guelleh,Make empathetic comment,Mahmoud Abbas,2006,2006
339,China,Provide economic aid,Ethiopia,2007,2007
141891,Benjamin Netanyahu,Threaten to halt negotiations,Mahmoud Abbas,2011,2011
890,Lien Chan,Express accord,China,2005,2005
6,Arseniy Yatsenyuk,Consult,Cabinet / Council of Ministers / Advisors (United States),2015,2015
3151,Military (Philippines),Acknowledge,City Mayor (Philippines),2015,2015
6347,Other Authorities / Officials (Nigeria),Seize,Head of Government (Nigeria),2008,2008
267574,Monastery (China),Engage in violent protest for policy change,China,2011,2011
2180,Citizen (Nigeria),Appeal for political reform,Government (Nigeria),2011,2011
1271,Party Member (Thailand),Complain officially,Protester (Thailand),2013,2013
46107,Labor Union (Nigeria),Appeal for military protection,Citizen (Nigeria),2007,2007
829,Government (Nigeria),Impose restrictions on political freedoms,Citizen (Nigeria),2013,2013
4578,Militant (Taliban),Use as human shield,Women (Pakistan),2008,2008
24984,Xi Jinping,Demand settling of dispute,Association of Southeast Asian Nations,2013,2013
305,South Korea,Cooperate economically,Iran,2012,2012
8335,Human Rights Watch,Accuse of human rights abuses,Military Personnel - Special (Angola),2012,2012
22465,Dmitry Anatolyevich Medvedev,Demand material aid,Rashid Gumarovich Nurgaliyev,2010,2010
1302,South Korea,"Ease economic sanctions, boycott, embargo",Business (South Korea),2015,2015
17022,Criminal (Yemen),Attempt to assassinate,Yemen,2009,2009
348462,Militia (Syria),Engage in ethnic cleansing,Muslim (Syria),2015,2015
5421,Abdoulaye Wade,Appeal for policy change,Ministry (Senegal),2009,2009
55410,Citizen (United Kingdom),Demand easing of administrative sanctions,Court Judge (United Kingdom),2005,2005
456,Lawyer/Attorney (Belgium),Engage in material cooperation,Police (Belgium),2007,2007
27278,Police (Bulgaria),Ease military blockade,Citizen (Bulgaria),2005,2005
32761,Japan,Demand political reform,International Monetary Fund,2009,2009
13484,Evo Morales,"Accuse of espionage, treason",Drug Enforcement Administration,2008,2008
26204,Tony Blair,"Appeal for change in institutions, regime",Iran,2011,2011
7064,Military Personnel (Uruguay),Accede to demands for change in leadership,Naval (Uruguay),2010,2010
21,China,Threaten,Bank (China),2008,2008
1584,Lee Myung Bak,Demand diplomatic cooperation (such as policy support),South Korea,2008,2008
6256,Finance / Economy / Commerce / Trade Ministry (Somalia),Demobilize armed forces,Islamic Courts Union,2006,2006
5963,Timor-Leste,Express intent to mediate,The Hague,2013,2013
155780,Japan,Reject request for humanitarian aid,China,2008,2008
5157,Vietnam,Express intent to ease administrative sanctions,Citizen (Australia),2008,2008
1654,Citizen (United Kingdom),Express intent to provide economic aid,International Monetary Fund,2009,2009
0,Media Personnel (Pakistan),Make statement,Chaudhry Nisar Ali Khan,2013,2013
46,Iran,Express intent to provide material aid,Iraq,2015,2015
2095,Public Works (Kenya),Appeal for judicial cooperation,Police (Kenya),2013,2013
1421,Citizen (Nigeria),Threaten non-force,Government (Nigeria),2009,2009
129164,Government (Nigeria),Halt mediation,Citizen (Nigeria),2014,2014
36386,Other Authorities / Officials (Greece),Investigate war crimes,Citizen (Greece),2005,2005
298,Iran,Provide military aid,Yemen,2015,2015
184,Abhisit Vejjajiva,Express intent to cooperate economically,Thailand,2010,2010
236915,Citizen (Thailand),Ease curfew,Thailand,2014,2014
23,Ministry (Sudan),Make an appeal,Employee (Sudan),2011,2011
483,Terrorist Leader (Syria),Physically assault,Men (Syria),2011,2011
852,UN Security Council,Express intent to provide military protection,Sudan,2008,2008
46896,Protester (Togo),Engage in violent protest for leadership change,Head of Government (Togo),2005,2005
543,Augusto Pinochet,Retreat,Healthcare Facility (Chile),2005,2005
343,South Korea,Reduce,Japan,2005,2005
2856,Terrorist (Fatah al-Islam),Refuse to de-escalate military engagement,Military (Lebanon),2007,2007
2552,Member of Legislative (Govt) (Kenya),Appeal for economic aid,Governor (Kenya),2015,2015
111,Iran,Confiscate property,Shirin Ebadi,2009,2009
551,Lawyer/Attorney (United Kingdom),Appeal for intelligence,Citizen (United Kingdom),2009,2009
96747,Senate (Switzerland),Investigate human rights abuses,Portugal,2006,2006
5,Ministry (Nigeria),Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2013,2013
775,China,Accede to demands for change in policy,Iran,2008,2008
44,High Commission (United Kingdom),Praise,Head of Government (Cyprus),2008,2008
452,Benjamin Netanyahu,Rally opposition against,Iran,2009,2009
416,Fighter Bomber (China),Increase military alert status,China,2009,2009
176,Boko Haram,"Abduct, hijack",Citizen (Nigeria),2014,2014
17923,Dmitry Anatolyevich Medvedev,Express intent to change leadership,Gazprom,2007,2007
1235,Other Authorities / Officials (Brazil),Express intent to yield,Citizen (Brazil),2006,2006
2717,Boko Haram,Give ultimatum,Citizen (Nigeria),2012,2012
38804,Police (South Africa),Destroy property,South Africa,2014,2014
579,Citizen (Thailand),Bring lawsuit against,Thailand,2009,2009
12363,Oversight Court (Nigeria),Ban political parties,Member of Legislative (Govt) (Nigeria),2009,2009
254555,Government (Sudan),Threaten to halt international involvement (non-mediation),African Union,2006,2006
5000,Barack Obama,Appeal for release of persons,Iran,2015,2015
27877,Barack Obama,Reject economic cooperation,Colombia,2008,2008
1232,African Union,Provide military protection,Sudan,2007,2007
5384,Women (Australia),Appeal for humanitarian aid,Police (Australia),2006,2006
159599,Citizen (Thailand),Demand easing of political dissent,Member of Parliament (Thailand),2009,2009
