,subject,predicate,object,from,until
2558,Bank (France),Decline comment,Iran,2014,2014
61,Doctors Without Borders,Provide economic aid,Myanmar,2014,2014
190,Citizen (Nigeria),Make empathetic comment,Government (Nigeria),2014,2014
23127,Protester (Ukraine),Obstruct passage to demand leadership change,Head of Government (Ukraine),2014,2014
10665,North Korea,Threaten to halt negotiations,South Korea,2014,2014
2456,Court Judge (India),Express accord,Citizen (India),2014,2014
2,Xi Jinping,Consult,Le Hong Anh,2014,2014
1066,Citizen (Australia),Acknowledge,Member of the Judiciary (United States),2014,2014
5250,Police (Tanzania),Seize,Tanzania,2014,2014
280,Angela Merkel,Appeal for political reform,France,2014,2014
19,Lawyer/Attorney (Turkey),Complain officially,Citizen (Turkey),2014,2014
9497,Democratic Party (Nigeria),Appeal for military protection,Citizen (Nigeria),2014,2014
330,Other Authorities / Officials (China),Impose restrictions on political freedoms,China,2014,2014
34369,Militant (Yemen),Use as human shield,Citizen (Yemen),2014,2014
4320,Citizen (Kenya),Demand settling of dispute,Hassan Joho,2014,2014
1118,China,Cooperate economically,France,2014,2014
1266,Human Rights Watch,Accuse of human rights abuses,Peacekeeping Troop (Uganda),2014,2014
50328,Governor (Thailand),Demand material aid,Citizen (Thailand),2014,2014
37,Central Intelligence Agency,Attempt to assassinate,Kim Jong-Un,2014,2014
1071,Cabinet / Council of Ministers / Advisors (Japan),"Ease economic sanctions, boycott, embargo",North Korea,2014,2014
1328,Liu Yandong,Appeal for policy change,Other Authorities / Officials (China),2014,2014
12143,Villager (India),Demand easing of administrative sanctions,Citizen (India),2014,2014
349,Protester (Hong Kong),Engage in material cooperation,Student (Hong Kong),2014,2014
3969,Protester (Thailand),Ease military blockade,Thailand,2014,2014
16982,Citizen (Thailand),Demand political reform,National Council for Peace and Order of Thailand,2014,2014
5035,Citizen (Venezuela),"Accuse of espionage, treason",Other Authorities / Officials (Venezuela),2014,2014
987,John Kerry,"Appeal for change in institutions, regime",Iraq,2014,2014
6940,Uhuru,Accede to demands for change in leadership,William Ruto,2014,2014
93,Government (France),Threaten,Ministry (France),2014,2014
481,William Ruto,Demand diplomatic cooperation (such as policy support),Kamba,2014,2014
31541,Militant (Nigeria),Demobilize armed forces,Government (Nigeria),2014,2014
9114,Barack Obama,Express intent to mediate,Hamas,2014,2014
13544,Legislature (Iraq),Express intent to ease administrative sanctions,Children (Iraq),2014,2014
1119,Japan,Express intent to provide economic aid,Myanmar,2014,2014
9,Head of Government (Qatar),Make statement,Qatar,2014,2014
