,subject,predicate,object,from,until
8542,NIN Prize,winner,Milorad Pavić,1984,1984
5387,Elke Hartmann,employer,Heidelberg University,2011,2011
2,Uzhhorod,located in the administrative territorial entity,Kingdom of Hungary,1938,1944
5321,Ralf Appel,member of sports team,SV Wattenscheid,2002,2014
145,Elli Schmidt,residence,Soviet Union,1940,1945
5388,Dietmar Kienast,educated at,Heidelberg University,1944,1947
500,Altona,instance of,city,1664,1938
724,Samara Governorate,contains administrative territorial entity,Stavropolskiy County,1851,1924
2684,Berlin,head of government,Eberhard Diepgen,1991,2001
5636,Zbigniew Brzezinski,position held,National Security Advisor,1977,1981
106,Russian Soviet Federative Socialist Republic,member o,Soviet Union,1922,1991
7937,Thomas Klestil,spouse,Margot Klestil-Löffler,1998,2004
16220,Basilica of Notre-Dame de Fourvière,heritage designation,registered historic monument,1977,2014
146,Sampson Sievers,country of citizenship,Soviet Union,1922,1979
4252,Iguaçu National Park,significant event,list of World Heritage in Danger,1999,2001
6266,Vladimir Putin,nominated for,Nobel Peace Prize,2014,2014
6003,Dirk Niebel,member of political party,Christian Democratic Union,1979,1981
8,Kyiv,capital of,Ukrainian Soviet Socialist Republic,1934,1991
590,Kyiv,twinned administrative body,Makhachkala,2004,2016
3,Târgu Mureș,country,Kingdom of Hungary,1940,1944
5368,Christian Baldus,academic degree,Doctor of Laws,1998,1998
521,Moscow,award received,Hero City,1965,1965
