,subject,predicate,object,from,until,object_has_years,subject_has_years
0,Beverly Adams,was born in,Edmonton,1945-11-07,1945-11-07,False,False
1,Rae Dawn Chong,was born in,Edmonton,1961-02-28,1961-02-28,False,False
2,Daniel Fernandes (footballer),was born in,Edmonton,1983-09-25,1983-09-25,False,False
3,Mike Comrie,was born in,Edmonton,1980-09-11,1980-09-11,False,False
4,Jordan Peterson,was born in,Edmonton,1962-06-12,1962-06-12,False,False
5,Tosaint Ricketts,was born in,Edmonton,1987-08-06,1987-08-06,False,False
6,Tommy Chong,was born in,Edmonton,1938-05-24,1938-05-24,False,False
7,Michael J. Fox,was born in,Edmonton,1961-06-09,1961-06-09,False,False
8,Al Gore,was born in,"Washington, D.C.",1948-03-31,1948-03-31,False,False
9,Norman Foster Ramsey Jr.,was born in,"Washington, D.C.",1915-08-27,1915-08-27,False,False
10,Edwin Atherton,was born in,"Washington, D.C.",1896-10-12,1896-10-12,False,False
11,Paul Steinhardt,was born in,"Washington, D.C.",1952-12-25,1952-12-25,False,False
12,Alexandra Wentworth,was born in,"Washington, D.C.",1965-01-12,1965-01-12,False,False
13,Raymond Davis Jr.,was born in,"Washington, D.C.",1914-10-14,1914-10-14,False,False
14,Camille Cosby,was born in,"Washington, D.C.",1944-03-20,1944-03-20,False,False
15,Claire Shipman,was born in,"Washington, D.C.",1962-10-04,1962-10-04,False,False
16,Thomas Penfield Jackson,was born in,"Washington, D.C.",1937-01-10,1937-01-10,False,False
17,Marin Raykov,was born in,"Washington, D.C.",1960-12-17,1960-12-17,False,False
18,Michael Heisley,was born in,"Washington, D.C.",1937-03-13,1937-03-13,False,False
19,Justin Theroux,was born in,"Washington, D.C.",1971-08-10,1971-08-10,False,False
20,William Thurston,was born in,"Washington, D.C.",1946-10-30,1946-10-30,False,False
21,Jay Carney,was born in,"Washington, D.C.",1965-05-22,1965-05-22,False,False
22,Charles Fefferman,was born in,"Washington, D.C.",1949-04-18,1949-04-18,False,False
23,Janet Howell,was born in,"Washington, D.C.",1944-##-##,1944-##-##,False,False
24,Katherine Heigl,was born in,"Washington, D.C.",1978-11-24,1978-11-24,False,False
25,David Gross,was born in,"Washington, D.C.",1941-02-19,1941-02-19,False,False
26,John Heard (actor),was born in,"Washington, D.C.",1945-03-07,1945-03-07,False,False
27,Goldie Hawn,was born in,"Washington, D.C.",1945-11-21,1945-11-21,False,False
28,Frederick D. Gregory,was born in,"Washington, D.C.",1941-01-07,1941-01-07,False,False
29,Tod Eberle,was born in,"Washington, D.C.",1886-07-04,1886-07-04,False,False
30,Eden Riegel,was born in,"Washington, D.C.",1981-01-01,1981-01-01,False,False
31,James P. Gray,was born in,"Washington, D.C.",1945-02-14,1945-02-14,False,False
32,Whit Stillman,was born in,"Washington, D.C.",1952-01-25,1952-01-25,False,False
33,Paula Vogel,was born in,"Washington, D.C.",1951-11-16,1951-11-16,False,False
34,Adam Riess,was born in,"Washington, D.C.",1969-12-16,1969-12-16,False,False
35,Oguchi Onyewu,was born in,"Washington, D.C.",1982-05-13,1982-05-13,False,False
36,Lauren Bowles,was born in,"Washington, D.C.",1970-03-24,1970-03-24,False,False
37,Ericka Huggins,was born in,"Washington, D.C.",1948-01-05,1948-01-05,False,False
38,Leonora Speyer,was born in,"Washington, D.C.",1872-11-07,1872-11-07,False,False
39,Maury Povich,was born in,"Washington, D.C.",1939-01-17,1939-01-17,False,False
40,Lisa Nowak,was born in,"Washington, D.C.",1963-05-10,1963-05-10,False,False
41,Francis Birch (geophysicist),was born in,"Washington, D.C.",1903-08-22,1903-08-22,False,False
42,Larry Hogan,was born in,"Washington, D.C.",1956-05-25,1956-05-25,False,False
43,Tipper Gore,was born in,"Washington, D.C.",1948-08-19,1948-08-19,False,False
44,Madlyn Rhue,was born in,"Washington, D.C.",1935-10-03,1935-10-03,False,False
45,Gilbert Melville Grosvenor,was born in,"Washington, D.C.",1931-05-05,1931-05-05,False,False
46,Connie Chung,was born in,"Washington, D.C.",1946-08-20,1946-08-20,False,False
47,Georgia Engel,was born in,"Washington, D.C.",1948-07-28,1948-07-28,False,False
48,Michael Chabon,was born in,"Washington, D.C.",1963-05-24,1963-05-24,False,False
49,Monta Bell,was born in,"Washington, D.C.",1891-02-05,1891-02-05,False,False
50,Tiko Campbell,was born in,"Washington, D.C.",1947-08-07,1947-08-07,False,False
51,Pat Buchanan,was born in,"Washington, D.C.",1938-11-02,1938-11-02,False,False
52,Hugh Auchincloss Steers,was born in,"Washington, D.C.",1963-##-##,1963-##-##,False,False
53,Donald R. McMonagle,was born in,"Flint, Michigan",1952-05-14,1952-05-14,False,False
54,Nancy Kovack,was born in,"Flint, Michigan",1935-03-11,1935-03-11,False,False
55,Stephen Smale,was born in,"Flint, Michigan",1930-07-15,1930-07-15,False,False
56,Donald B. Beary,was born in,"Helena, Montana",1888-12-04,1888-12-04,False,False
57,Dava Newman,was born in,"Helena, Montana",1964-##-##,1964-##-##,False,False
58,Myrna Loy,was born in,"Helena, Montana",1905-08-02,1905-08-02,False,False
59,Gary Cooper,was born in,"Helena, Montana",1901-05-07,1901-05-07,False,False
60,Sarah Roemer,was born in,San Diego,1984-08-28,1984-08-28,False,False
61,Kathy Najimy,was born in,San Diego,1957-02-06,1957-02-06,False,False
62,William C. McCool,was born in,San Diego,1961-09-23,1961-09-23,False,False
63,Chris Innis,was born in,San Diego,1966-##-##,1966-##-##,False,False
64,Darrell Long,was born in,San Diego,1962-08-05,1962-08-05,False,False
65,Kris Jenner,was born in,San Diego,1955-11-05,1955-11-05,False,False
66,Carol W. Greider,was born in,San Diego,1961-04-15,1961-04-15,False,False
67,Alexxis Nevaeh,was born in,San Diego,1987-01-07,1987-01-07,False,False
68,Alana Stewart,was born in,San Diego,1945-05-18,1945-05-18,False,False
69,Ida Halpern,was born in,Vienna,1910-07-17,1910-07-17,False,False
70,Wolfgang Pauli,was born in,Vienna,1900-04-25,1900-04-25,False,False
71,Victor Weisskopf,was born in,Vienna,1908-09-19,1908-09-19,False,False
72,Romy Schneider,was born in,Vienna,1938-09-23,1938-09-23,False,False
73,Ruth Hubbard,was born in,Vienna,1924-03-03,1924-03-03,False,False
